JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2454039.2979,2.2,,,Vis.,SYI,TO,21,22,,ALPHA UMI = 2.21 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454086.4021,2.0,,,Vis.,SYI,TO,18,23,,ALPHA UMI = 2.00 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454134.3611,2.1,,,Vis.,SYI,TO,18,19,,ALPHA UMI = 2.13 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454146.33889,2.1,,,Vis.,RJG,,18,29,SAA2001,,0,,Z,,,,ALF UMI,,STD,,,,
2454146.34028,2.2,,,Vis.,CAI,,18,29,SAA2001,,0,,Z,,,,ALF UMI,,STD,,,,
2454149.2792,2.1,,,Vis.,SYI,TO,19,23,,ALPHA UMI = 2.13 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454157.3181,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI = 2.09 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454172.2500,2.0,,,Vis.,SYI,TO,18,24,,ALPHA UMI = 2.03 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454173.2931,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI = 2.11 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454174.3049,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI = 2.10 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454182.2958,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI = 2.05 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454187.2813,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI = 2.13 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454188.3090,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI = 2.12 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454189.2882,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI = 2.12 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454191.2771,2.1,,,Vis.,SYI,TO,18,22,,ALPHA UMI = 2.09 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454198.2935,2.0,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454198.3126,2.0,,,Vis.,KJP,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454200.3,2.2,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454202.3979,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI = 2.09 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454203.2879,2.0,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454203.3132,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI = 2.12 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454204.3028,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI = 2.10 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454204.3071,2.2,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454205.3071,2.2,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454205.3326,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI = 2.09 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454206.3069,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI= 2.11 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454206.3112,2.2,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454207.3139,2.1,,,Vis.,KJP,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454208.2958,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI= 2.10 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454211.3056,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI= 2.09 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454212.3071,2.0,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454213.3174,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI= 2.10 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454216.3063,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI= 2.11 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454218.3063,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI= 2.10 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454221.3174,2.1,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454222.31,2.3,,,Vis.,DAT,Z,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454222.3396,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI= 2.07 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454223.3646,2.0,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454224.3271,2.1,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454225.3503,2.2,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454225.3618,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI= 2.06 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454230.3815,1.9,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454234.3257,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI= 2.10 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454237.3417,1.9,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454239.3411,2.2,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454243.3776,2.1,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454244.3875,2.2,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454245.3708,2.0,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454249.3516,2.1,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454259.3535,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.10 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454260.3604,2.1,,,Vis.,SYI,TOS,18,24,,ALPHA UMI= 2.14 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454263.3563,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.12 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454263.3892,1.9,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454264.4611,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.14 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454269.3813,1.9,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454270.3597,2.2,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.15 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454272.3764,2.2,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.17 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454272.3954,1.7,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454276.3674,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.13 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454276.3838,1.8,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454279.3625,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.13 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454290.3611,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.10 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454296.3563,2.2,,,Vis.,SYI,TO,21,23,,ALPHA UMI= 2.15 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454297.3896,2.1,,,Vis.,SYI,TO,21,,,"""ALPHA UMI= 2.12 MAG; ARGELANDER METHOD; COMP. STAR = BETA UMI, 2.06 MAG""",,,Z,,,,ALF UMI,,STD,,,,
2454298.3889,1.8,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454298.3903,2.2,,,Vis.,SYI,TO,21,27,,ALPHA UMI= 2.18 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454299.3931,2.2,,,Vis.,SYI,TO,21,27,,ALPHA UMI= 2.17 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454300.3840,2.2,,,Vis.,SYI,TO,21,27,,ALPHA UMI= 2.15 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454308.3333,2.1,,,Vis.,SYI,TO,18,22,,ALPHA UMI= 2.10 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454309.3905,1.8,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454311.3931,2.2,,,Vis.,SYI,TO,21,27,,ALPHA UMI= 2.16 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454314.3989,1.9,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454315.3299,2.1,,,Vis.,SYI,TO,18,22,,ALPHA UMI= 2.13 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454318.3368,2.1,,,Vis.,SYI,TO,21,,,"""ALPHA UMI= 2.09 MAG; ARGELANDER METHOD; COMP. STAR = BETA UMI, 2.06 MAG""",,,Z,,,,ALF UMI,,STD,,,,
2454319.4288,1.9,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454324.3368,1.9,,,Vis.,SYI,TO,21,,,"""ALPHA UMI= 1.94 MAG; ARGELANDER METHOD; COMP. STAR = BETA UMI, 2.06 MAG""",,,Z,,,,ALF UMI,,STD,,,,
2454327.3292,2.2,,,Vis.,SYI,TO,21,27,,ALPHA UMI= 2.22 MAG,,,Z,,,,ALF UMI,,STD,,,,
2454327.3705,2.2,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454328.3671,2.1,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454329.3208,2.2,,,Vis.,SYI,TO,21,23,,ALPHA UMI= 2.16 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454333.3688,2.0,,,Vis.,SYI,TO,21,,,"""ALPHA UMI= 1.96 MAG; ARGELANDER METHOD; COMP. STAR = BETA UMI, 2.06 MAG""",0,,Z,,,,ALF UMI,,STD,,,,
2454335.3410,2.1,,,Vis.,SYI,TO,21,,,"""ALPHA UMI= 2.05 MAG; ARGELANDER METHOD; COMP. STAR = BETA UMI, 2.06 MAG""",0,,Z,,,,ALF UMI,,STD,,,,
2454335.41944,2.1,,,Vis.,RJG,,18,21,SAA2001,,0,,Z,,,,ALF UMI,,STD,,,,
2454335.42361,2.2,,,Vis.,CAI,,21,29,SAA2001,,0,,Z,,,,ALF UMI,,STD,,,,
2454336.3410,2.2,,,Vis.,SYI,TO,21,,,"""ALPHA UMI= 2.16 MAG; ARGELANDER METHOD; COMP. STAR = BETA UMI, 2.06 MAG""",0,,Z,,,,ALF UMI,,STD,,,,
2454337.3014,2.1,,,Vis.,SYI,TO,21,,,"""ALPHA UMI= 2.08 MAG; ARGELANDER METHOD; COMP. STAR = BETA UMI, 2.06 MAG""",0,,Z,,,,ALF UMI,,STD,,,,
2454338.3153,2.1,,,Vis.,SYI,TO,21,27,,ALPHA UMI= 2.12 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454339.2972,2.2,,,Vis.,SYI,TO,21,27,,ALPHA UMI= 2.15 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454341.3222,2.1,,,Vis.,SYI,TO,21,27,,ALPHA UMI= 2.10 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454346.3319,2.1,,,Vis.,SYI,TO,21,27,,ALPHA UMI= 2.11 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454351.3674,1.9,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454355.3059,1.9,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454359.3262,2.1,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454360.2806,2.1,,,Vis.,SYI,TO,21,27,,ALPHA UMI= 2.12 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454363.4228,2.2,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454365.3076,2.2,,,Vis.,SYI,TO,21,27,,ALPHA UMI= 2.18 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454366.2826,2.2,,,Vis.,SYI,TO,21,27,,ALPHA UMI = 2.16 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454366.2847,1.9,,,Vis.,SYI,TO,18,22,,ETA UMA = 1.94 MAG,0,,Z,,,,NSV 6450,,STD,,,,
2454366.3522,1.9,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454368.3014,2.1,,,Vis.,SYI,TO,21,,,"""ALPHA UMI = 2.13 MAG; ARGELANDER METHOD; COMP. STAR = BETA UMI, 2.06 MAG""",0,,Z,,,,ALPHA UMI,,STD,,,,
2454369.3056,2.2,,,Vis.,SYI,TO,21,27,,ALPHA UMI= 2.20 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454369.3069,1.9,,,Vis.,SYI,TO,18,22,,ETA UMA = 1.91 MAG,0,,Z,,,,NSV 6450,,STD,,,,
2454389.2935,1.9,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454410.3306,2.0,,,Vis.,SYI,TO,18,21,,ALPHA UMI= 2.4 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454413.2042,2.2,,,Vis.,SYI,TO,21,,,"""ALPHA UMI= 2.22 MAG; ARGELANDER METHOD; COMP. STAR = BETA UMI, 2.6 MAG""",0,,Z,,,,ALPHA UMI,,STD,,,,
2454461.2905,2.1,,,Vis.,DAT,,TYC3845-01190-1,TYC4416-01799-1,K,,,,Z,,,,ALF UMI,AAVSO,STD,,,,
2454478.3924,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.14 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454480.3507,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.13 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454494.3618,2.0,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.4 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454497.3604,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.5 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454500.2632,2.2,,,Vis.,SYI,TO,21,,,"""ALPHA UMI= 2.15 MAG; ARGELANDER METHOD; COMP. STAR = BETA UMI, 2.6 MAG""",0,,Z,,,,ALPHA UMI,,STD,,,,
2454500.4458,2.1,,,Vis.,SYI,TO,21,,,"""ALPHA UMI= 2.7 MAG; ARGELANDER METHOD; COMP. STAR = BETA UMI, 2.06 MAG""",0,,Z,,,,ALPHA UMI,,STD,,,,
2454507.2771,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.13 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454508.3042,2.2,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.16 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454509.3000,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.8 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454513.3042,2.0,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.2 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454517.5493,1.9,,,Vis.,SYI,TO,18,21,,ALPHA UMI= 1.9 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454521.3201,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.14 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454523.2826,2.0,,,Vis.,SYI,TO,18,21,,ALPHA UMI= 2.2 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454525.2986,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.7 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454532.2882,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.13 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454533.3354,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.13 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454544.3243,2.1,,,Vis.,SYI,TO,18,24,,ALPHA UMI= 2.O5 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454552.3354,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI= 2.11 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454553.3160,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI= 2.14 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454556.2813,2.1,,,Vis.,SYI,TO,17,22,,ALPHA UMI= 2.O6 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454557.2813,2.1,,,Vis.,SYI,TO,21,22,,ALPHA UMI= 2.14 MAG,0,,Z,,,,ALPHA UMI,,STD,,,,
2454567.2903,2.0,,,Vis.,SYI,TO,"""18,22""",,,ALF UMI = 2.00 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454570.3493,2.2,,,Vis.,SYI,TO,"""21,22""",,,ALPHA UMI = 2.18 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454571.3444,2.1,,,Vis.,SYI,TO,"""21,22""",,,ALPHA UMI = 2.08 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454618.4014,2.2,,,Vis.,SYI,TO,"""18,24""",,,ALPHA UMI = 2.15 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454619.3806,2.2,,,Vis.,SYI,TO,"""18,24""",,,ALPHA UMI = 2.15 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454620.3813,2.1,,,Vis.,SYI,TO,"""18,24""",,,ALPHA  UMI = 2.10 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454623.3986,2.1,,,Vis.,SYI,TO,"""18,24""",,,ALPHA UMI = 2.11 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454627.3861,2.0,,,Vis.,SYI,TO,"""18,24""",,,ALPHA UMI = 2.03 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454633.3639,2.1,,,Vis.,SYI,TO,"""18,24""",,,ALPHA UMI = 2.11 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454642.54514,2.1,,,Vis.,RJG,,21,29,SAA2001,,,,Z,,,,ALPHA UMI,,STD,,,,
2454642.54722,2.2,,,Vis.,CAI,,21,29,SAA2001,,,,Z,,,,ALPHA UMI,,STD,,,,
2454648.3819,2.1,,,Vis.,SYI,TO,"""18,22""",,,ALPHA UMI = 2.07 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454649.3681,2.1,,,Vis.,SYI,TO,"""18,24""",,,ALPHA UMI = 2.09 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454650.3750,2.1,,,Vis.,SYI,TO,"""18,18,22,24""",,,ALPHA UMI = 2.08 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454659.3785,2.1,,,Vis.,SYI,TO,"""18,22""",,,ALPHA UMI = 2.08 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454660.3868,2.1,,,Vis.,SYI,TO,"""18,22""",,,ALPHA UMI = 2.12 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454667.3736,2.1,,,Vis.,SYI,TO,"""18,22""",,,ALPHA UMI = 2.10 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454674.3563,2.1,,,Vis.,SYI,TO,"""21,22""",,,ALPHA UMI = 2.11 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454675.3451,2.1,,,Vis.,SYI,TO,"""20,22""",,,ALPHA UMI = 2.10 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454676.3868,2.1,,,Vis.,SYI,TO,"""20,22""",,,ALPHA UMI = 2.14 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454677.3576,2.2,,,Vis.,SYI,TO,21,,,ALPHA UMI = 2.15 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454678.3431,2.4,,,Vis.,SYI,TO,"""21,22""",,,ALPHA UMI = 2.44 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454679.3875,2.1,,,Vis.,SYI,TO,"""21,22""",,,ALPHA UMI = 2.11 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454680.3382,2.1,,,Vis.,SYI,TO,"""21,22""",,,ALPHA UMI = 2.08 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454682.3306,2.0,,,Vis.,SYI,TO,21,,,ALPHA UMI = 2.04 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454683.4139,1.9,,,Vis.,SYI,TO,21,,,ALPHA UMI = 1.94 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454684.3736,2.2,,,Vis.,SYI,TO,"""21,22""",,,ALPHA UMI = 2.15 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454685.3326,2.1,,,Vis.,SYI,TO,"""21,22""",,,ALPHA UMI = 2.11 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454686.3347,2.2,,,Vis.,SYI,TO,22,,,ALPHA UMI = 2.15 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454689.3910,2.2,,,Vis.,SYI,TO,22,,,ALPHA UMI = 2.20 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454690.3187,2.1,,,Vis.,SYI,TO,"""21,22""",,,ALPHA UMI = 2.14 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454691.3750,2.1,,,Vis.,SYI,TO,21,,,ALPHA UMI = 2.06 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454710.3285,2.1,,,Vis.,SYI,TO,21,,,ALPHA UMI = 2.13 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454712.3208,2.1,,,Vis.,SYI,TO,21,,,ALPHA UMI = 2.11 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454713.3181,1.9,,,Vis.,SYI,TO,21,,,ALPHA UMI = 1.94 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454714.3507,2.2,,,Vis.,SYI,TO,21,,,ALPHA UMI = 2.20 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454715.3306,2.1,,,Vis.,SYI,TO,21,,,ALPHA UMI = 2.06 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454716.3208,1.9,,,Vis.,SYI,TO,21,,,ALPHA UMI = 1.86 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454717.3438,1.9,,,Vis.,SYI,TO,21,,,ALPHA UMI = 1.93 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454719.3458,2.0,,,Vis.,SYI,TO,21,,,ALPHA UMI = 2.04 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454737.2465,2.2,,,Vis.,SYI,TO,21,,,ALPHA UMI = 2.18 MAG,0,,Z,,,,ALF UMI,,STD,,,,
2454786.5570,1.986,0.004,,V,GGL,,SAO 209,SAO 181,,,1,1.387,Z,-1.4915,-3.667,2454786.5604,ALPHA UMI,,STD,,,,
2454793.5047,1.973,0.020,,V,GGL,,SAO 209,SAO 181,,,1,1.385,Z,-2.764,-4.951,2454793.5075,ALPHA UMI,,STD,,,,
2454841.5008,1.983,0.008,,V,GGL,,SAO 209,SAO 181,,,1,1.395,Z,-2.367,-4.519,2454841.4989,ALPHA UMI,,STD,,,,
2454844.4500,1.968,0.004,,V,GGL,,SAO 209,SAO 181,,,1,1.391,Z,-2.760,-4.899,2454844.4478,ALPHA UMI,,STD,,,,
2454871.4130,1.978,0.007,,V,GGL,,SAO 209,SAO 181,,,1,1.394,Z,-2.4095,-4.594,2454871.4086,ALPHA UMI,,STD,,,,
2454875.43750,2.1,,,Vis.,RJG,,18,29,SAA2001,,,,Z,,,,ALPHA UMI,,STD,,,,
2454875.44097,2.1,,,Vis.,CAI,,18,30,SAA2001,,,,Z,,,,ALPHA UMI,,STD,,,,
2454902.4219,2.012,0.005,,V,GGL,,SAO 209,SAO 181,,,1,1.404,Z,-2.976,-5.129,2454902.4162,ALPHA UMI,,STD,,,,
2454985.4039,1.953,0.004,,V,GGL,,SAO 209,SAO 181,010101,,1,1.416,Z,-2.373,-4.573,2454985.4021,ALPHA UMI,,STD,,,,
2455009.52222,2.1,,,Vis.,RJG,,21,29,SAA2001,,,,Z,,,,ALPHA UMI,,STD,,,,
2455009.52292,2.2,,,Vis.,CAI,,21,29,SAA2001,,,,Z,,,,ALPHA UMI,,STD,,,,
2455026.6072,1.997,0.002,,V,WI,,SAO 209,SAO 181,PEP,PEPHQ; CHECK: 5.0582; D(B-V)=0.495;,1,1.584,Z,6.456,5.058,,ALF UMI,,STD,,,,
2455033.6618,2.003,0.005,,V,WI,,SAO 209,SAO 181,PEP,PEPHQ; CHECK: 4.2320; D(B-V)=0.495;,1,1.574,Z,6.456,4.232,,ALF UMI,,STD,,,,
2455038.7833,1.989,0.002,,V,WI,,SAO 209,SAO 181,PEP,PEPHQ; CHECK: 4.2186; D(B-V)=0.495;,1,1.550,Z,6.456,4.219,,ALF UMI,,STD,,,,
